Last login: Tue Apr 28 18:21:57 on ttys000
D-69-91-151-59:~ DarcyElizabeth$ cd Desktop/
D-69-91-151-59:Desktop DarcyElizabeth$ ls
PTMSC_Project	canada		map		soupenv
D-69-91-151-59:Desktop DarcyElizabeth$ source map/bin/activate
(map)D-69-91-151-59:Desktop DarcyElizabeth$ cd soupenv/
(map)D-69-91-151-59:soupenv DarcyElizabeth$ ls
AIS_Page.html		local			shiptracker
bin			map			shiptracker_B.py
datetime		mashup.py		test.py
include			my_map.json
lib			pip-selfcheck.json
(map)D-69-91-151-59:soupenv DarcyElizabeth$ python test.py 
1: Date/time, 2:Position, 3: Naut miles run, 4:Avg speed
1: 2015-Apr-21 21:21, 2:N 48°09' W 122°32', 3: 3, 4: 1.0
1: 2015-Apr-21 18:34, 2:N 48°07' W 122°30', 3: 2, 4: 1.9
1: 2015-Apr-21 17:17, 2:N 48°05' W 122°27', 3: 4, 4: 4.9
1: 2015-Apr-21 16:30, 2:N 48°03' W 122°23', 3: 4, 4: 4.7
1: 2015-Apr-21 15:34, 2:N 48°00' W 122°18', 3: 3, 4: 1.2
1: 2015-Apr-21 13:11, 2:N 47°60' W 122°13', 3: 0, 4: 0.0
1: 2015-Apr-21 10:28, 2:N 47°60' W 122°13', 3: 0, 4: 0.0
1: 2015-Apr-21 09:25, 2:N 47°60' W 122°13', 3: 0, 4: 0.0
1: 2015-Apr-21 08:10, 2:N 47°60' W 122°13', 3: 0, 4: 0.0
1: 2015-Apr-21 07:28, 2:N 47°60' W 122°13', 3: 0, 4: 0.0
1: 2015-Apr-21 06:13, 2:N 47°60' W 122°13', 3: 0, 4: 0.0
1: 2015-Apr-21 03:25, 2:N 47°60' W 122°13', 3: 0, 4: 0.0
1: 2015-Apr-21 02:22, 2:N 47°60' W 122°13', 3: 0, 4: 0.0
1: 2015-Apr-21 01:29, 2:N 47°60' W 122°13', 3: 0, 4: 0.0
